income_code,age_range,gender,ethnicity,education,population
J,35_44,female,asian,< Than HS Diploma,581
A,55_64,male,islander,Bachelor Degree,31
K,45_54,female,islander,< Than HS Diploma,7
D,65_74,female,black,Some College,57886
I,55_64,male,hispanic,Graduate Degree,3758
E,35_44,female,black,HS Diploma,102366
F,55_64,female,black,Bachelor Degree,54776
I,45_54,female,black,Some College,13211
I,75_84,male,black,Graduate Degree,2352
G,45_54,female,islander,HS Diploma,207
L,18_24,male,hispanic,Graduate Degree,2149
J,25_34,male,islander,Bachelor Degree,125
E,55_64,female,asian,HS Diploma,27628
L,45_54,female,white,Graduate Degree,166544
E,45_54,female,asian,Bachelor Degree,35607
F,18_24,male,asian,Bachelor Degree,13257
L,35_44,male,white,Some College,135095
B,45_54,male,hispanic,< Than HS Diploma,59063
K,55_64,male,white,< Than HS Diploma,7922
L,18_24,male,islander,< Than HS Diploma,2
C,75_84,female,black,< Than HS Diploma,60177
L,35_44,male,white,< Than HS Diploma,9662
L,65_74,male,black,Graduate Degree,5025
B,85_120,male,asian,Graduate Degree,2473
K,18_24,female,hispanic,Graduate Degree,1421
K,25_34,male,hispanic,Some College,21855
L,85_120,male,black,Bachelor Degree,1093
A,85_120,female,asian,Some College,1826
U,35_44,male,black,Bachelor Degree,4
U,18_24,female,white,Some College,2
H,18_24,male,black,Some College,32644
I,18_24,female,white,Some College,124612
H,65_74,male,asian,Graduate Degree,7667
L,45_54,male,islander,Some College,207
E,65_74,male,black,HS Diploma,107477
C,65_74,male,white,Bachelor Degree,48404
D,25_34,female,white,Some College,836495
D,55_64,male,hispanic,Graduate Degree,9385
L,75_84,male,white,< Than HS Diploma,14381
G,75_84,male,black,Some College,6323
I,45_54,male,islander,Some College,132
L,35_44,male,islander,Bachelor Degree,152
E,35_44,female,islander,< Than HS Diploma,84
D,45_54,male,black,Some College,123187
E,25_34,male,hispanic,HS Diploma,235855
J,65_74,female,black,Bachelor Degree,3051
J,55_64,male,black,Graduate Degree,10091
B,85_120,female,black,Graduate Degree,6926
F,45_54,female,white,Some College,605255
K,85_120,female,hispanic,< Than HS Diploma,1058
I,25_34,female,islander,Graduate Degree,200
G,25_34,female,hispanic,< Than HS Diploma,175767
E,55_64,male,hispanic,Bachelor Degree,19595
I,18_24,male,hispanic,Some College,19776
J,25_34,female,black,Some College,19800
